,languages,num_speakers,low_eng_prof,speaker_perc,low_prof_perc,group_labels,subgroup_labels
0,.Population 5 years and over,291484482,25148900,1.0,0.08627869253087717,header,header
1,Speak only English at home,231122908,-1,0.7929166808955544,-1.0,header,header
2,Speak a language other than English at home,60361574,25148900,0.2070833191044455,0.08627869253087717,header,header
3,SPANISH AND SPANISH CREOLE,37458624,16344473,0.12850983950493802,0.05607321833345488,group_header,group_header
4,..Spanish,37458470,16344440,0.1285093111749256,0.05607310511988079,SPANISH AND SPANISH CREOLE,
5,..Ladino,130,25,4.4599286764089214e-07,8.576785916171002e-08,SPANISH AND SPANISH CREOLE,
6,..Pachuco,-1,-1,-1.0,-1.0,SPANISH AND SPANISH CREOLE,
7,OTHER INDO-EUROPEAN LANGUAGES,10737607,3424558,0.036837662596391665,0.011748680329404295,group_header,group_header
8,".French (incl. Patois, Cajun)",1307742,266120,0.004486489267034119,0.0009129817072045708,OTHER INDO-EUROPEAN LANGUAGES,subgroup_header
9,..French,1253560,258730,0.004300606301230129,0.0008876287280363694,OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)"
10,..Patois,32900,4695,0.00011287050265681039,1.610720395056914e-05,OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)"
11,..Cajun,21285,2695,7.302275529027991e-05,9.24577521763234e-06,OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)"
12,.French Creole,739725,323689,0.002537785184735838,0.0011104845025677902,OTHER INDO-EUROPEAN LANGUAGES,
13,.Italian,708966,191724,0.0024322598415376364,0.0006577502811967877,OTHER INDO-EUROPEAN LANGUAGES,
14,.Portuguese (incl. Portuguese Creole),693469,269805,0.0023790940610004755,0.000925623889645007,OTHER INDO-EUROPEAN LANGUAGES,subgroup_header
15,..Portuguese,692500,269615,0.0023757696987793675,0.000924972053915378,OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole)
16,..Papia Mentae,970,190,3.3277929354743486e-06,6.518357296289961e-07,OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole)
17,.German (incl. Luxembourgian),1063773,174758,0.00364950131376119,0.0005995447812552848,OTHER INDO-EUROPEAN LANGUAGES,subgroup_header
18,..German,1063275,174735,0.003647792818006689,0.000599465874824856,OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian)
19,..Luxembourgian,500,25,1.7153571832342005e-06,8.576785916171002e-08,OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian)
20,.Yiddish,155582,53116,0.0005337574025638868,0.00018222582428933557,OTHER INDO-EUROPEAN LANGUAGES,
21,.Other West Germanic languages,298287,71112,0.0010233374962307599,0.0002439649600283009,OTHER INDO-EUROPEAN LANGUAGES,subgroup_header
22,..Pennsylvania Dutch,133190,44075,0.0004569368464699263,0.00015120873570209476,OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages
23,..Dutch,141580,25030,0.0004857205400045962,8.587078059270407e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages
24,..Afrikaans,23010,1885,7.89407375724379e-05,6.466896580792936e-06,OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages
25,..Frisian,510,120,1.7496643268988844e-06,4.116857239762081e-07,OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages
26,.Scandinavian languages,128339,13312,0.0004402944510781881,4.566966964642735e-05,OTHER INDO-EUROPEAN LANGUAGES,subgroup_header
27,..Swedish,55735,5045,0.00019121086521511633,1.7307953978833082e-05,OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages
28,..Danish,28285,3030,9.703775585555872e-05,1.0395064530399255e-05,OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages
29,..Norwegian,39430,4675,0.00013527306746984903,1.6038589663239773e-05,OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages
30,..Icelandic,4865,565,1.669042539286877e-05,1.9383536170546465e-06,OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages
31,..Faroese,30,-1,1.0292143099405203e-07,-1.0,OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages
32,.Greek,304932,75799,0.0010461345931959424,0.0002600447182639383,OTHER INDO-EUROPEAN LANGUAGES,
33,.Russian,879434,416526,0.0030170868581607716,0.0014289817322076172,OTHER INDO-EUROPEAN LANGUAGES,
34,.Polish,580153,235241,0.0019903392318497424,0.0008070446782823931,OTHER INDO-EUROPEAN LANGUAGES,
35,.Serbo-Croatian languages,267979,103432,0.0009193594052118356,0.00035484564835255964,OTHER INDO-EUROPEAN LANGUAGES,subgroup_header
36,..Serbocroatian,144675,62965,0.0004963386009688159,0.00021601493008468285,OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages
37,..Croatian,53040,15930,0.000181965089997484,5.465127985784163e-05,OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages
38,..Serbian,70260,24540,0.00024104199138806983,8.418973055313455e-05,OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages
39,.Other Slavic languages,316501,120594,0.0010858245277016153,0.0004137235683098903,OTHER INDO-EUROPEAN LANGUAGES,subgroup_header
40,..Bielorussian,1805,1035,6.192439431475464e-06,3.550789369294795e-06,OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages
41,..Ukrainian,152325,71915,0.0005225835658722992,0.00024671982366457503,OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages
42,..Czech,47385,11235,0.00016256440025510518,3.854407590727248e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages
43,..Lusatian,-1,-1,-1.0,-1.0,OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages
44,..Slovak,27930,7125,9.581985225546244e-05,2.4443839861087356e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages
45,..Bulgarian,57785,19455,0.00019824382966637655,6.674454799964274e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages
46,..Macedonian,22885,8125,7.851189827662936e-05,2.7874554227555757e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages
47,..Slovene,6370,1705,2.1853650514403712e-05,5.8493679948286235e-06,OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages
48,.Armenian,237840,106794,0.0008159611049208445,0.0003663797100526264,OTHER INDO-EUROPEAN LANGUAGES,
49,.Persian,391113,144876,0.0013417969880125556,0.0004970281745564761,OTHER INDO-EUROPEAN LANGUAGES,
50,.Hindi,643337,132631,0.002207105488380682,0.0004550190771390705,OTHER INDO-EUROPEAN LANGUAGES,
51,.Gujarati,373253,132572,0.00128052442942743,0.0004548166649914488,OTHER INDO-EUROPEAN LANGUAGES,
52,.Urdu,397502,116566,0.0013637158220999224,0.0003999046508417556,OTHER INDO-EUROPEAN LANGUAGES,
53,.Other Indic languages,800364,315196,0.002745820273204115,0.0010813474454533741,OTHER INDO-EUROPEAN LANGUAGES,subgroup_header
54,..India n.e.c.3,61385,20575,0.00021059440138566278,7.058694809008735e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
55,..Bengali,257740,105180,0.0008842323208135657,0.0003608425370651464,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
56,..Panjabi,253740,104750,0.000870509463347692,0.000359367329887565,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
57,..Marathi,73630,10525,0.00025260349880306836,3.6108268707079916e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
58,..Bihari,595,260,2.0412750480486984e-06,8.919857352817843e-07,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
59,..Rajasthani,715,215,2.4529607720249066e-06,7.376035887907062e-07,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
60,..Oriya,5385,910,1.8474396863432338e-05,3.1219500734862447e-06,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
61,..Assamese,1305,100,4.477082248241263e-06,3.430714366468401e-07,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
62,..Kashmiri,1775,285,6.089518000481412e-06,9.777535944434942e-07,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
63,..Nepali,94220,56650,0.0003232419076086527,0.0001943499688604349,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
64,..Sindhi,8965,1775,3.075635429538921e-05,6.089518000481412e-06,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
65,..Pakistan n.e.c.3,12605,5145,4.3244154589334194e-05,1.7651025415479923e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
66,..Sinhalese,26745,8350,9.175445573119738e-05,2.8646464960011146e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
67,..Romany,1555,480,5.334760839858364e-06,1.6467428959048325e-06,OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages
68,.Other Indo-European languages,449316,160695,0.001541474856284116,0.0005512986451196397,OTHER INDO-EUROPEAN LANGUAGES,subgroup_header
69,..Jamaican Creole,21965,5965,7.535564105947842e-05,2.046421119598401e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
70,..Krio,10560,2820,3.6228343709906314e-05,9.67461451344089e-06,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
71,..Hawaiian Pidgin,365,30,1.2522107437609663e-06,1.0292143099405203e-07,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
72,..Pidgin,4445,1100,1.5249525358952041e-05,3.773785803115241e-06,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
73,..Gullah,385,150,1.3208250310903343e-06,5.146071549702602e-07,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
74,..Saramacca,35,-1,1.2007500282639404e-07,-1.0,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
75,..Catalonian,2325,500,7.976410902039032e-06,1.7153571832342005e-06,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
76,..Romanian,154625,55550,0.0005304742089151765,0.00019057618305731968,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
77,..Rhaeto-Romanic,-1,-1,-1.0,-1.0,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
78,..Welsh,2235,235,7.667646609056876e-06,8.062178761200742e-07,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
79,..Irish Gaelic,20590,2505,7.063840880558438e-05,8.593939488003344e-06,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
80,..Scottic Gaelic,1635,190,5.609217989175835e-06,6.518357296289961e-07,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
81,..Albanian,133870,58820,0.0004592697322391248,0.00020179461903567134,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
82,..Lithuanian,39790,12370,0.00013650812464177767,4.2437936713214116e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
83,..Latvian,16035,3300,5.501150486632081e-05,1.1321357409345723e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
84,..Pashto,22760,9840,7.80830589808208e-05,3.375822936604907e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
85,..Kurdish,17020,6870,5.8390758517292184e-05,2.3569007697637914e-05,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
86,..Balochi,185,85,6.346821577966542e-07,2.9161072114981405e-07,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
87,..Tadzhik,435,350,1.4923607494137543e-06,1.2007500282639403e-06,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
88,..Ossete,50,-1,1.7153571832342004e-07,-1.0,OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages
89,ASIAN AND PACIFIC ISLAND LANGUAGES,9539099,4570035,0.03272592398246436,0.01567848472976342,group_header,group_header
90,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",2896766,1600886,0.009937976732497203,0.005492182599278132,ASIAN AND PACIFIC ISLAND LANGUAGES,subgroup_header
91,..Chinese,1867485,1054885,0.006406807618664242,0.003619009124472019,ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)"
92,..Hakka,1350,840,4.631464394732341e-06,2.8818000678334567e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)"
93,"..Kan, Hsiang",50,-1,1.7153571832342004e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)"
94,..Cantonese,458840,257625,0.001574148979910361,0.0008838377886614218,ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)"
95,..Mandarin,487250,240810,0.0016716155750617283,0.0008261503265892556,ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)"
96,..Fuchow,1450,1175,4.9745358313791815e-06,4.031089380600371e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)"
97,..Formosan,77675,44140,0.00026648073841543306,0.00015143173213591523,ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)"
98,..Wu,2670,1375,9.160007358470631e-06,4.717232253894051e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)"
99,.Japanese,449475,194436,0.0015420203398683846,0.00066705437855865,ASIAN AND PACIFIC ISLAND LANGUAGES,
100,.Korean,1117343,617905,0.0038332846823729023,0.0021198555606126573,ASIAN AND PACIFIC ISLAND LANGUAGES,
101,".Mon-Khmer, Cambodian",212167,109633,0.0007278843749905013,0.0003761195081390302,ASIAN AND PACIFIC ISLAND LANGUAGES,
102,.Hmong,214943,92861,0.0007374080380718175,0.00031857956678462215,ASIAN AND PACIFIC ISLAND LANGUAGES,
103,.Thai,152649,79746,0.0005236951173270349,0.0002735857478683891,ASIAN AND PACIFIC ISLAND LANGUAGES,
104,.Laotian,152647,75885,0.000523688255898302,0.0002603397596994546,ASIAN AND PACIFIC ISLAND LANGUAGES,
105,.Vietnamese,1399936,839237,0.004802780547336307,0.0028791824327718415,ASIAN AND PACIFIC ISLAND LANGUAGES,
106,.Other Asian languages,908314,282138,0.003116165889064379,0.0009679348899266617,ASIAN AND PACIFIC ISLAND LANGUAGES,subgroup_header
107,..Karakalpak,-1,-1,-1.0,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
108,..Kazakh,1480,750,5.0774572623732335e-06,2.573035774851301e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
109,..Kirghiz,550,305,1.8868929015576205e-06,1.0463678817728622e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
110,..Karachay,420,140,1.4409000339167284e-06,4.803000113055762e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
111,..Uighur,8905,5895,3.055051143340111e-05,2.0224061190331222e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
112,..Azerbaijani,2085,1025,7.153039454086616e-06,3.5164822256301107e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
113,..Turkish,116515,43495,0.00039972968440906575,0.0001492189213695431,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
114,..Turkmen,205,75,7.032964451260222e-07,2.573035774851301e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
115,..Mongolian,10180,5430,3.492467225064832e-05,1.8628779009923417e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
116,..Tungus,235,120,8.062178761200742e-07,4.116857239762081e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
117,..Dravidian,1150,160,3.945321521438661e-06,5.489142986349442e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
118,..Gondi,1470,270,5.043150118708549e-06,9.262928789464682e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
119,..Telugu,247760,51635,0.000849993791436211,0.00017714493631259588,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
120,..Kannada,48620,7425,0.00016680133249769366,2.5473054171027878e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
121,..Malayalam,146310,41535,0.0005019478189579917,0.00014249472121126503,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
122,..Tamil,190685,33885,0.000654185768970027,0.00011624975630778176,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
123,..Munda,2030,235,6.964350163930854e-06,8.062178761200742e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
124,..Burushaski,95,-1,3.2591786481449807e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
125,..Tibetan,16730,9735,5.7395851351016345e-05,3.339800435756988e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
126,..Burmese,62645,44530,0.00021491710148741297,0.0001527697107388379,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
127,..Karen,30185,26440,0.00010355611315184869,9.070808784942453e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
128,..Kachin,520,415,1.7839714705635685e-06,1.4237464620843863e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
129,..Mien,19010,8220,6.52178801065643e-05,2.8200472092370256e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
130,..Paleo-siberian,530,385,1.8182786142282525e-06,1.3208250310903343e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages
131,.Tagalog,1613346,516522,0.005534929300284329,0.0017720394459969913,ASIAN AND PACIFIC ISLAND LANGUAGES,
132,.Other Pacific Island languages,421513,160786,0.001446090704753195,0.0005516108401269883,ASIAN AND PACIFIC ISLAND LANGUAGES,subgroup_header
133,..Indonesian,67410,29400,0.00023126445544363491,0.00010086300237417098,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
134,..Achinese,-1,-1,-1.0,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
135,..Balinese,795,160,2.727417921342379e-06,5.489142986349442e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
136,..Cham,1050,500,3.602250084791821e-06,1.7153571832342005e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
137,..Javanese,495,135,1.6982036114018584e-06,4.631464394732341e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
138,..Malagasy,720,225,2.4701143438572485e-06,7.719107324553902e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
139,..Malay,14580,4910,5.001981546310929e-05,1.6844807539359848e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
140,..Minangkabau,15,-1,5.1460715497026015e-08,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
141,..Sundanese,35,35,1.2007500282639404e-07,1.2007500282639404e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
142,..Bisayan,29800,11505,0.00010223528812075834,3.947036878621895e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
143,..Sebuano,15700,4935,5.3862215553553895e-05,1.693057539852156e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
144,..Pangasinan,2265,1115,7.770568040050929e-06,3.825246518612267e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
145,..Ilocano,85755,47250,0.0002942009104964977,0.00016210125381563195,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
146,..Bikol,695,200,2.384346484695539e-06,6.861428732936802e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
147,..Pampangan,5620,2460,1.9280614739552413e-05,8.439557341512267e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
148,..Micronesian,7830,3435,2.686249348944758e-05,1.1784503848818957e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
149,..Carolinian,945,545,3.242025076312639e-06,1.8697393297252784e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
150,..Chamorro,19780,3195,6.785953016874497e-05,1.0961132400866542e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
151,..Gilbertese,170,85,5.832214422996281e-07,2.9161072114981405e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
152,..Kusaiean,1165,445,3.996782236935687e-06,1.5266678930784385e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
153,..Marshallese,18485,9545,6.341675506416839e-05,3.274616862794088e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
154,..Mokilese,500,190,1.7153571832342005e-06,6.518357296289961e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
155,..Mortlockese,-1,-1,-1.0,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
156,..Nauruan,-1,-1,-1.0,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
157,..Palau,4140,1290,1.420315747717918e-05,4.425621532744237e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
158,..Ponapean,3525,1495,1.2093268141801114e-05,5.128917977870259e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
159,..Trukese,8790,5200,3.0155979281257243e-05,1.7839714705635684e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
160,..Ulithean,40,-1,1.3722857465873605e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
161,..Woleai-Ulithi,140,-1,4.803000113055762e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
162,..Yapese,720,350,2.4701143438572485e-06,1.2007500282639403e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
163,..Melanesian,1305,295,4.477082248241263e-06,1.0120607381081783e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
164,..Polynesian,435,160,1.4923607494137543e-06,5.489142986349442e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
165,..Samoan,64135,16905,0.0002200288658934509,5.799622636514832e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
166,..Tongan,31440,8855,0.00010786165968176652,3.037897571507769e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
167,..Niuean,-1,-1,-1.0,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
168,..Tokelauan,125,-1,4.2883929580855013e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
169,..Fijian,5755,1360,1.9743761179025647e-05,4.665771538397025e-06,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
170,..Marquesan,135,-1,4.631464394732341e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
171,..Rarotongan,95,-1,3.2591786481449807e-07,-1.0,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
172,..Maori,460,145,1.5781286085754644e-06,4.974535831379181e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
173,..Nukuoro,210,85,7.204500169583642e-07,2.9161072114981405e-07,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
174,..Hawaiian,26205,4280,8.990186997330445e-05,1.4683457488484756e-05,ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages
175,ALL OTHER LANGUAGES,2626244,809834,0.009009893020651439,0.002778309138254571,group_header,group_header
176,.Navajo,166826,35250,0.0005723323549004575,0.00012093268141801113,ALL OTHER LANGUAGES,
